Civilian_Casualties,Estimated_Dollar_Loss,Building_Status,Business_Impact,Fire_Alarm_System_Operation,Method_Of_Fire_Control,Smoke_Alarm_at_Fire_Origin,Sprinkler_System_Presence,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Under_Control_Time,Number_of_responding_apparatus,Number_of_responding_personnel
3,9100,Occupied,Moderate,Non-operational,Foam,Present,Present,2021-12-11T06:12:32Z,2021-10-01T17:29:41Z,2021-03-14T10:42:20Z,3,47
5,98700,Occupied,Minor,Operational,Dry chemical,Present,Not applicable,2021-06-26T04:39:21Z,2021-05-28T11:08:38Z,2021-09-30T09:14:13Z,9,5
4,52500,Occupied,NA,Non-operational,Dry chemical,Present,Not applicable,2021-06-11T07:48:25Z,2021-06-17T14:41:18Z,2021-11-18T11:58:39Z,1,50
1,18500,Occupied,None,Operational,NA,Absent,Absent,2021-04-01T11:37:11Z,2021-02-02T12:01:57Z,2021-06-18T08:07:14Z,5,27
8,16500,Occupied,None,Non-operational,Foam,Absent,Absent,2021-11-27T15:43:19Z,2021-09-20T04:16:54Z,2021-04-05T13:02:32Z,1,44
2,65600,Occupied,None,Not present,Dry chemical,Present,Present,2021-09-16T08:40:59Z,2021-05-20T00:27:20Z,2021-01-27T10:23:23Z,9,28
2,10900,NA,NA,Not present,NA,Absent,Present,2021-05-25T11:17:17Z,2021-10-25T20:53:54Z,2021-11-11T15:43:11Z,9,15
3,22800,Occupied,Minor,Operational,CO2,Present,Present,2021-01-26T21:01:22Z,2021-07-12T01:37:09Z,2021-05-10T13:10:39Z,2,33
2,88600,Occupied,Minor,Operational,NA,Present,Present,2021-04-10T21:37:40Z,2021-07-25T21:05:49Z,2021-02-07T01:35:12Z,3,4
9,74400,Unoccupied,None,Operational,Foam,Present,Not applicable,2021-08-16T17:37:43Z,2021-02-17T11:34:36Z,2021-07-12T20:33:40Z,1,16
5,12100,Unoccupied,NA,Operational,Dry chemical,Unknown,NA,2021-04-12T09:47:42Z,2021-10-22T13:15:24Z,2021-05-27T03:50:48Z,1,21
8,76500,Occupied,Severe,Operational,CO2,Present,Present,2021-08-22T19:31:57Z,2021-05-26T12:12:00Z,2021-04-17T14:28:00Z,10,14
2,21700,Occupied,Moderate,Non-operational,No intervention,Present,Absent,2021-12-30T09:21:02Z,2021-11-24T04:54:25Z,2021-06-30T18:24:38Z,2,29
3,46800,Occupied,None,Operational,CO2,Present,Absent,2021-05-16T06:48:32Z,2021-04-13T12:51:33Z,2021-10-07T01:28:57Z,9,38
3,55600,NA,NA,Operational,Dry chemical,Present,Absent,2021-06-22T20:54:47Z,2021-12-13T03:23:04Z,2021-09-20T12:56:30Z,5,42
8,39300,Occupied,NA,Non-operational,CO2,Absent,Present,2021-12-23T15:40:50Z,2021-03-12T10:38:25Z,2021-12-20T04:30:50Z,3,32
6,52000,Occupied,Moderate,Operational,NA,NA,Present,2021-03-29T18:48:17Z,2021-06-21T14:42:24Z,2021-10-19T19:34:41Z,8,48
8,14700,Abandoned,None,Non-operational,Foam,Absent,Absent,2021-09-30T17:13:30Z,2021-12-17T06:50:21Z,2021-09-22T16:24:17Z,7,38
7,73900,Occupied,None,Not present,Foam,NA,Present,2021-05-18T17:15:18Z,2021-01-22T05:13:04Z,2021-12-14T13:34:37Z,7,37
7,24900,Occupied,None,Operational,Dry chemical,Absent,Not applicable,2021-11-09T16:54:39Z,2021-03-27T12:15:15Z,2021-12-10T20:15:19Z,1,37
1,50300,Occupied,None,Operational,NA,Absent,Absent,2021-11-28T05:39:12Z,2021-06-09T05:44:00Z,2021-10-26T17:10:50Z,3,2
7,92300,Occupied,None,Operational,Dry chemical,Present,Present,2021-02-05T17:27:59Z,2021-10-06T23:04:51Z,2021-09-23T21:06:32Z,10,19
9,75600,Occupied,None,Operational,NA,Absent,Not applicable,2021-07-27T04:15:54Z,2021-01-06T03:29:42Z,2021-08-11T01:13:18Z,2,12
3,73200,NA,None,Not present,Water,Absent,Present,2021-03-28T22:42:38Z,2021-09-04T17:01:45Z,2021-07-16T18:10:17Z,6,6
9,36700,Occupied,Minor,Operational,NA,Unknown,Not applicable,2021-12-23T08:04:45Z,2021-12-25T03:53:41Z,2021-07-19T06:35:10Z,3,47
2,47800,Occupied,Severe,Operational,No intervention,Present,Present,2021-04-10T10:26:30Z,2021-05-11T00:26:29Z,2021-08-06T01:46:42Z,5,31
0,79400,Occupied,Minor,Operational,Water,Present,Present,2021-09-15T07:53:17Z,2021-10-18T23:36:29Z,2021-05-27T07:18:47Z,4,49
8,71600,Abandoned,None,Operational,Foam,Absent,Absent,2021-10-01T22:30:23Z,2021-11-29T01:21:54Z,2021-02-18T17:52:45Z,8,32
0,30000,Occupied,None,Not present,Dry chemical,Present,Not applicable,2021-07-07T16:43:02Z,2021-10-24T01:53:00Z,2021-07-28T22:36:45Z,3,23
9,44200,Occupied,None,Operational,Water,Present,Present,2021-01-10T14:34:22Z,2021-03-24T07:11:21Z,2021-04-04T13:44:09Z,1,29
5,73400,Unoccupied,Severe,Operational,CO2,Absent,Present,2021-05-22T16:39:08Z,2021-01-05T21:53:09Z,2021-10-27T09:50:23Z,10,14
2,51900,Unoccupied,None,Operational,Foam,Absent,Absent,2021-04-16T08:24:35Z,2021-05-13T07:30:50Z,2021-09-09T00:32:28Z,4,24
1,1800,Occupied,Minor,Operational,NA,Absent,Not applicable,2021-03-06T03:35:22Z,2021-04-04T19:12:51Z,2021-01-03T13:32:06Z,3,46
0,99100,Occupied,NA,Operational,Foam,Absent,NA,2021-11-12T00:49:40Z,2021-11-22T04:45:49Z,2021-01-02T12:18:56Z,10,7
10,79600,Occupied,Minor,Operational,No intervention,Absent,Not applicable,2021-02-24T08:56:35Z,2021-09-25T21:09:24Z,2021-02-20T00:09:48Z,3,21
5,31400,NA,None,Operational,Foam,Present,Absent,2021-06-18T20:25:23Z,2021-10-19T22:49:59Z,2021-03-16T09:27:54Z,5,23
6,52600,Occupied,None,Operational,Dry chemical,Present,Absent,2021-06-17T00:40:01Z,2021-01-10T21:17:38Z,2021-03-05T00:56:53Z,10,26
10,94500,Abandoned,None,NA,Dry chemical,Unknown,Present,2021-03-25T04:02:32Z,2021-03-12T00:40:34Z,2021-05-06T22:26:38Z,9,20
7,87800,Occupied,None,Operational,NA,Absent,Present,2021-09-23T04:36:12Z,2021-05-27T17:28:08Z,2021-04-11T02:15:53Z,5,30
3,51500,Occupied,Minor,Operational,No intervention,Absent,Absent,2021-09-02T17:48:16Z,2021-11-06T02:05:32Z,2021-10-13T01:28:50Z,9,29
9,52800,NA,None,Non-operational,NA,Absent,Not applicable,2021-08-22T06:01:28Z,2021-03-02T06:22:14Z,2021-02-10T03:02:21Z,5,32
9,54100,Occupied,None,Non-operational,No intervention,Present,Present,2021-05-08T02:46:15Z,2021-05-19T21:40:33Z,2021-07-07T17:00:18Z,4,15
0,7200,Occupied,NA,Operational,CO2,Absent,Not applicable,2021-06-14T22:30:22Z,2021-03-15T20:24:27Z,2021-03-12T09:22:25Z,2,11
6,29100,Occupied,None,NA,Water,Present,Not applicable,2021-12-07T11:56:57Z,2021-09-10T11:06:20Z,2021-03-08T05:33:35Z,2,27
7,25400,Occupied,Moderate,Operational,No intervention,Present,Absent,2021-12-03T03:43:33Z,2021-07-02T03:12:01Z,2021-02-14T17:22:36Z,5,45
1,99100,NA,None,Operational,No intervention,Present,Not applicable,2021-06-24T23:38:08Z,2021-08-12T02:30:28Z,2021-04-25T19:30:57Z,3,37
5,25400,Occupied,Moderate,Operational,CO2,Present,Present,2021-02-04T01:03:17Z,2021-03-16T11:08:42Z,2021-11-21T09:02:19Z,2,38
4,29400,Occupied,None,Operational,Foam,NA,Not applicable,2021-12-19T10:40:42Z,2021-07-01T08:40:12Z,2021-07-04T16:47:51Z,7,7
6,91000,Abandoned,None,Not present,Dry chemical,Present,Not applicable,2021-10-13T15:54:19Z,2021-09-28T10:41:34Z,2021-09-14T17:23:23Z,7,45
3,27400,Occupied,Minor,Operational,NA,Absent,NA,2021-10-11T22:31:33Z,2021-12-11T07:57:12Z,2021-09-18T10:39:31Z,10,50
1,21800,Unoccupied,None,Operational,NA,Present,Absent,2021-02-15T07:32:37Z,2021-11-13T03:16:45Z,2021-11-07T13:46:04Z,1,23
4,28800,Occupied,None,Operational,Water,Present,Present,2021-03-02T04:51:19Z,2021-05-10T06:11:13Z,2021-02-05T17:17:59Z,8,21
5,40800,Occupied,Severe,Operational,Water,Absent,Absent,2021-02-12T14:53:31Z,2021-08-05T03:28:22Z,2021-01-24T02:36:36Z,5,3
8,15400,Unoccupied,None,Operational,NA,NA,Not applicable,2021-12-08T19:46:42Z,2021-02-08T21:44:30Z,2021-01-24T21:40:26Z,10,13
5,55500,Occupied,Minor,Operational,Water,Absent,Absent,2021-05-21T17:35:09Z,2021-07-24T01:48:37Z,2021-07-26T11:48:25Z,2,16
4,72200,Occupied,None,Non-operational,No intervention,Present,Not applicable,2021-09-15T19:46:33Z,2021-03-29T13:26:24Z,2021-08-17T11:33:30Z,4,6
5,99100,Occupied,Moderate,Operational,Water,Absent,Absent,2021-12-26T06:20:36Z,2021-12-07T11:02:40Z,2021-06-09T03:17:47Z,3,18
3,12600,Unoccupied,None,Operational,CO2,Present,Not applicable,2021-08-08T10:15:23Z,2021-09-05T09:15:00Z,2021-06-09T16:09:33Z,6,11
1,84900,Occupied,Moderate,Operational,Foam,Present,Absent,2021-11-07T06:56:44Z,2021-03-25T22:24:19Z,2021-02-02T10:18:58Z,9,23
1,78400,Occupied,Minor,Not present,Water,Absent,Absent,2021-08-15T00:38:25Z,2021-11-20T23:12:50Z,2021-05-01T07:56:37Z,2,41
0,7200,Occupied,Severe,Operational,Water,Absent,NA,2021-07-27T19:18:57Z,2021-11-14T14:18:47Z,2021-12-19T14:58:26Z,8,33
1,7200,Abandoned,Severe,Not present,NA,Absent,Absent,2021-10-09T19:57:41Z,2021-12-06T21:23:19Z,2021-01-10T21:13:03Z,5,27
3,23200,Unoccupied,None,NA,CO2,Absent,Absent,2021-04-11T08:29:56Z,2021-07-30T02:25:02Z,2021-11-28T14:30:50Z,6,2
4,72100,Occupied,None,Operational,Dry chemical,NA,Present,2021-06-10T23:59:41Z,2021-10-19T13:07:01Z,2021-06-02T02:21:20Z,1,3
5,35100,Abandoned,Minor,Operational,No intervention,Absent,Not applicable,2021-02-11T15:23:35Z,2021-01-08T15:46:28Z,2021-10-12T11:32:05Z,9,9
10,29400,Occupied,NA,Operational,NA,Present,Present,2021-01-25T07:00:45Z,2021-05-19T12:27:11Z,2021-10-01T11:02:34Z,7,18
10,34200,Occupied,Moderate,NA,CO2,Present,Absent,2021-01-06T23:39:19Z,2021-09-18T05:42:16Z,2021-10-22T01:22:57Z,2,29
9,58400,Occupied,None,Not present,NA,NA,Present,2021-07-22T02:56:05Z,2021-07-01T09:15:51Z,2021-06-19T19:44:22Z,1,9
1,45300,Occupied,None,Operational,CO2,NA,Absent,2021-01-21T10:58:22Z,2021-11-24T03:58:02Z,2021-05-23T23:59:02Z,7,33
1,56300,Occupied,NA,Operational,CO2,Present,Not applicable,2021-02-24T16:51:34Z,2021-11-24T11:12:56Z,2021-12-17T18:25:21Z,7,30
0,94400,Abandoned,None,Operational,No intervention,Present,Not applicable,2021-09-29T05:33:37Z,2021-02-20T05:17:59Z,2021-03-15T21:24:32Z,1,34
4,60900,Occupied,None,NA,No intervention,Present,Not applicable,2021-12-23T12:11:33Z,2021-03-12T09:30:59Z,2021-10-07T16:04:27Z,4,15
0,83000,Occupied,Moderate,Operational,Water,Unknown,Absent,2021-05-24T09:52:16Z,2021-11-01T13:32:41Z,2021-06-18T06:49:21Z,4,38
4,55600,Occupied,Moderate,Operational,NA,Absent,Present,2021-03-06T16:22:18Z,2021-07-30T09:56:57Z,2021-09-25T18:18:35Z,8,38
5,48900,Occupied,Moderate,Operational,CO2,Present,Not applicable,2021-01-25T00:37:11Z,2021-02-17T18:01:30Z,2021-07-06T14:33:10Z,1,4
8,34800,Occupied,None,NA,NA,Absent,Not applicable,2021-05-06T06:09:37Z,2021-06-16T10:50:17Z,2021-05-26T14:50:35Z,1,6
9,5900,Occupied,NA,Operational,NA,Absent,NA,2021-02-03T04:10:25Z,2021-12-18T23:27:03Z,2021-04-15T06:03:11Z,2,28
6,600,Occupied,NA,Operational,Dry chemical,Absent,Present,2021-12-11T22:31:26Z,2021-09-03T09:56:17Z,2021-03-13T16:02:11Z,7,24
7,94500,Occupied,None,Operational,Dry chemical,Present,NA,2021-02-20T03:19:43Z,2021-10-01T01:53:43Z,2021-05-03T16:55:57Z,2,2
2,15500,Occupied,Moderate,Operational,Water,Absent,Absent,2021-11-30T09:13:32Z,2021-04-28T01:36:39Z,2021-11-27T14:23:38Z,1,50
2,94400,Occupied,None,Operational,No intervention,NA,Absent,2021-01-20T08:18:44Z,2021-09-20T08:58:27Z,2021-03-10T18:48:08Z,1,38
5,43700,Occupied,None,Operational,Dry chemical,Unknown,Present,2021-03-18T22:54:27Z,2021-06-09T15:09:48Z,2021-12-01T14:01:41Z,3,34
8,49400,Occupied,Minor,Operational,No intervention,Present,Present,2021-11-15T07:00:53Z,2021-10-28T11:56:46Z,2021-08-25T09:50:34Z,4,43
2,68100,Abandoned,NA,Operational,NA,Unknown,Not applicable,2021-02-18T11:26:30Z,2021-10-30T04:50:32Z,2021-01-14T10:47:57Z,1,4
2,7300,Occupied,None,Operational,NA,Present,Absent,2021-12-22T00:07:57Z,2021-03-17T21:02:15Z,2021-02-25T15:09:42Z,7,30
1,11600,NA,None,Operational,NA,Present,Absent,2021-01-16T12:55:52Z,2021-03-08T01:27:34Z,2021-07-16T05:30:40Z,9,17
7,68600,Occupied,None,Non-operational,No intervention,Absent,Present,2021-10-25T01:52:08Z,2021-01-31T02:41:01Z,2021-12-09T08:14:15Z,6,17
1,72700,Occupied,Moderate,Operational,Dry chemical,Absent,Not applicable,2021-12-22T10:33:04Z,2021-11-27T15:24:18Z,2021-04-29T15:45:44Z,9,49
2,10300,Occupied,None,Operational,Foam,Present,Present,2021-06-28T04:19:20Z,2021-12-29T05:08:45Z,2021-01-08T07:32:29Z,10,13
10,15100,Unoccupied,Moderate,Operational,CO2,Present,Absent,2021-06-09T20:56:20Z,2021-12-24T21:15:58Z,2021-07-11T06:38:23Z,4,37
8,59700,Occupied,None,Operational,No intervention,Present,Not applicable,2021-06-15T16:46:49Z,2021-07-21T17:15:46Z,2021-04-15T13:33:54Z,7,18
10,43600,Occupied,None,Operational,Dry chemical,NA,Absent,2021-06-28T04:14:53Z,2021-11-03T13:37:02Z,2021-08-12T06:19:34Z,5,26
6,69400,Occupied,None,Operational,CO2,Absent,Not applicable,2021-01-12T11:15:20Z,2021-06-09T02:52:59Z,2021-11-09T05:29:10Z,5,10
8,87800,Occupied,None,Operational,Foam,Absent,Present,2021-11-06T03:44:15Z,2021-06-23T03:45:17Z,2021-06-20T23:36:48Z,10,23
6,3300,Occupied,None,Not present,No intervention,Present,Present,2021-06-01T01:32:53Z,2021-10-06T14:02:33Z,2021-02-26T17:16:43Z,3,46
5,91700,Occupied,Moderate,Operational,Water,Present,Present,2021-05-04T14:17:47Z,2021-06-17T16:09:47Z,2021-10-09T19:31:23Z,6,26
8,98100,Occupied,Moderate,Operational,Foam,Absent,Not applicable,2021-11-09T05:52:14Z,2021-10-24T01:25:55Z,2021-01-23T15:11:54Z,1,36
5,26300,Occupied,Minor,Operational,Water,Present,Present,2021-10-29T19:58:58Z,2021-10-03T20:48:44Z,2021-10-22T19:57:12Z,4,22
3,17300,Occupied,None,NA,Foam,NA,NA,2021-11-22T10:10:16Z,2021-08-28T16:39:11Z,2021-11-12T18:38:22Z,1,46
7,99800,Occupied,None,Non-operational,Dry chemical,Absent,Absent,2021-03-30T20:54:12Z,2021-03-13T14:18:16Z,2021-12-23T05:28:14Z,7,50
8,80500,Occupied,Moderate,NA,CO2,Absent,Absent,2021-04-05T16:45:28Z,2021-03-27T12:16:08Z,2021-12-13T03:41:28Z,1,50
4,12500,Occupied,None,Operational,Foam,Present,Present,2021-01-06T08:55:31Z,2021-11-01T21:47:37Z,2021-08-23T17:02:24Z,7,12
1,85700,Occupied,None,Not present,CO2,Present,Absent,2021-03-13T22:12:21Z,2021-05-01T05:02:13Z,2021-01-12T16:32:52Z,2,31
3,91500,Occupied,Minor,Operational,No intervention,Absent,Present,2021-10-04T05:20:25Z,2021-10-01T22:11:03Z,2021-01-14T16:30:28Z,3,23
10,33400,Occupied,None,Operational,Dry chemical,NA,Not applicable,2021-06-10T05:14:19Z,2021-04-14T19:39:52Z,2021-11-23T11:16:04Z,7,23
6,74700,Occupied,None,NA,NA,Present,Present,2021-05-16T03:57:50Z,2021-10-15T00:25:50Z,2021-05-04T05:02:07Z,6,23
8,94500,Occupied,None,Operational,No intervention,Absent,Not applicable,2021-01-24T08:19:41Z,2021-05-03T00:12:04Z,2021-06-20T17:27:21Z,3,18
5,96400,Occupied,None,Not present,Water,Absent,Present,2021-08-15T04:50:51Z,2021-08-19T14:07:14Z,2021-11-20T13:35:58Z,5,8
1,31400,Occupied,None,Operational,NA,Absent,NA,2021-03-08T21:22:20Z,2021-08-10T21:12:32Z,2021-08-14T16:52:52Z,8,14
9,41500,Unoccupied,Minor,Operational,Foam,Absent,Absent,2021-07-30T06:58:20Z,2021-02-16T02:05:54Z,2021-07-01T21:18:54Z,9,24
1,36400,Occupied,Minor,Operational,CO2,Absent,Absent,2021-06-15T11:08:53Z,2021-12-27T15:09:14Z,2021-03-27T22:45:44Z,6,4
8,10400,Occupied,None,Operational,Foam,Absent,Present,2021-10-11T07:48:01Z,2021-06-14T21:08:10Z,2021-10-14T13:22:56Z,5,10
7,26000,NA,Minor,Operational,Water,Absent,Absent,2021-03-20T07:44:39Z,2021-09-06T12:20:52Z,2021-03-22T13:50:13Z,2,45
0,40600,Unoccupied,None,Operational,Dry chemical,Unknown,Absent,2021-07-02T14:17:44Z,2021-03-24T15:15:00Z,2021-03-11T10:30:22Z,8,29
4,47300,Occupied,Moderate,Operational,No intervention,Present,Present,2021-02-07T15:35:08Z,2021-11-25T23:59:51Z,2021-02-15T06:44:09Z,6,26
7,87100,Occupied,None,NA,Foam,Present,Present,2021-02-24T14:59:04Z,2021-07-25T01:16:04Z,2021-07-18T03:05:51Z,4,47
10,78900,NA,None,NA,No intervention,Absent,Present,2021-12-01T22:07:57Z,2021-06-06T06:39:59Z,2021-02-15T09:56:05Z,8,33
8,24600,Unoccupied,Minor,Not present,Dry chemical,Present,Not applicable,2021-08-17T04:22:37Z,2021-05-01T00:34:01Z,2021-02-24T22:50:10Z,3,18
6,89600,NA,NA,Operational,NA,Present,Not applicable,2021-10-16T15:07:12Z,2021-06-20T04:07:34Z,2021-12-06T04:37:30Z,8,29
5,41200,Unoccupied,None,Non-operational,Water,Absent,Not applicable,2021-08-13T13:25:11Z,2021-07-07T14:38:37Z,2021-06-20T12:16:00Z,10,10
1,11700,Abandoned,None,Operational,No intervention,Present,Not applicable,2021-06-03T18:14:42Z,2021-02-01T16:07:46Z,2021-10-10T19:05:00Z,6,3
3,13100,Unoccupied,Moderate,Operational,Water,Unknown,Not applicable,2021-11-04T11:02:39Z,2021-11-25T06:07:52Z,2021-02-20T21:54:15Z,4,24
1,37800,NA,NA,Not present,Water,Present,Present,2021-05-26T11:25:28Z,2021-11-22T19:36:52Z,2021-09-10T06:47:23Z,9,8
1,36600,NA,None,Non-operational,Foam,Present,Absent,2021-08-22T10:50:30Z,2021-04-29T11:06:40Z,2021-03-24T15:36:31Z,6,36
9,37100,Abandoned,Moderate,Operational,Dry chemical,NA,Present,2021-07-04T04:08:47Z,2021-12-07T13:42:43Z,2021-09-17T06:18:51Z,3,39
7,60900,Occupied,None,NA,Dry chemical,Present,Absent,2021-10-07T10:48:45Z,2021-02-09T18:24:38Z,2021-09-18T01:45:04Z,4,14
8,75500,Abandoned,Severe,Operational,Foam,Absent,Not applicable,2021-01-10T00:51:45Z,2021-02-03T02:38:34Z,2021-10-02T13:22:40Z,6,47
2,3400,Occupied,Minor,Operational,CO2,Absent,Absent,2021-01-14T00:51:38Z,2021-12-20T12:26:00Z,2021-10-30T21:09:30Z,2,44
5,7100,Occupied,Minor,Operational,Foam,Absent,Absent,2021-11-18T17:19:03Z,2021-11-24T21:29:28Z,2021-07-14T18:00:33Z,3,36
2,84800,Occupied,Minor,Operational,Water,Absent,Absent,2021-03-12T20:30:26Z,2021-03-11T19:09:24Z,2021-12-10T04:00:09Z,7,32
6,2100,Occupied,None,Operational,NA,Absent,Not applicable,2021-02-10T18:21:51Z,2021-05-01T19:14:00Z,2021-07-11T11:35:32Z,3,30
4,82800,Occupied,None,NA,No intervention,NA,Absent,2021-08-07T01:08:33Z,2021-03-30T11:47:21Z,2021-11-16T16:24:32Z,1,32
8,26700,Unoccupied,None,Operational,Dry chemical,Unknown,Present,2021-07-27T07:24:24Z,2021-10-10T05:04:34Z,2021-01-12T12:16:29Z,4,45
4,65000,Unoccupied,NA,Non-operational,Foam,Absent,Present,2021-09-08T08:55:39Z,2021-09-27T07:02:19Z,2021-04-15T05:57:20Z,10,38
10,40400,Occupied,Minor,Non-operational,No intervention,Present,Not applicable,2021-09-06T09:14:22Z,2021-02-05T09:27:11Z,2021-03-16T17:34:39Z,10,21
2,96200,Unoccupied,None,Operational,Water,Absent,NA,2021-01-12T23:41:15Z,2021-10-24T00:00:40Z,2021-11-06T04:36:12Z,8,48
2,63700,NA,Severe,Operational,Dry chemical,Absent,Not applicable,2021-01-28T16:08:01Z,2021-04-16T17:48:07Z,2021-04-11T01:40:20Z,1,21
4,6100,NA,Severe,Operational,CO2,Absent,Not applicable,2021-02-08T23:30:05Z,2021-12-25T20:07:38Z,2021-08-29T16:20:59Z,8,20
7,74400,Occupied,Minor,Operational,NA,Absent,Not applicable,2021-02-12T11:29:33Z,2021-02-08T04:08:15Z,2021-11-24T09:02:37Z,3,36
6,98900,Occupied,None,Operational,NA,Absent,Absent,2021-12-06T23:54:45Z,2021-01-10T10:05:44Z,2021-11-01T15:37:24Z,2,11
5,37500,Unoccupied,Minor,Operational,NA,Absent,Not applicable,2021-05-29T12:14:53Z,2021-10-31T04:49:09Z,2021-06-08T08:39:30Z,2,32
3,77900,Occupied,None,Non-operational,CO2,Absent,Present,2021-11-29T02:25:56Z,2021-02-19T17:45:13Z,2021-07-06T12:34:25Z,7,6
4,3200,Unoccupied,None,Operational,CO2,Present,NA,2021-02-01T06:22:44Z,2021-10-16T21:14:03Z,2021-02-14T23:20:34Z,4,10
0,69300,Abandoned,Moderate,Operational,NA,Unknown,Not applicable,2021-03-16T06:34:09Z,2021-02-06T04:00:54Z,2021-10-17T01:48:51Z,4,34
4,89000,Occupied,Severe,Non-operational,Foam,Present,Not applicable,2021-01-16T10:54:30Z,2021-09-27T07:27:36Z,2021-11-16T15:50:32Z,6,12
8,98500,Occupied,None,NA,Dry chemical,Present,Present,2021-04-14T13:54:21Z,2021-06-10T11:36:47Z,2021-08-05T22:19:50Z,4,8
7,89000,Occupied,None,Operational,No intervention,Present,Not applicable,2021-10-10T12:20:41Z,2021-02-05T08:20:25Z,2021-09-26T05:52:29Z,2,5
8,43900,Unoccupied,Moderate,Operational,Dry chemical,Absent,Absent,2021-12-20T08:04:16Z,2021-02-27T08:31:41Z,2021-04-22T16:25:08Z,8,23
8,37400,Occupied,Minor,Operational,Foam,Absent,Not applicable,2021-04-21T00:41:57Z,2021-06-18T07:30:22Z,2021-03-09T15:21:14Z,5,43
